,Entropy
graph_08_mu_0_4_node_332,0.03746712
graph_08_mu_0_4_node_333,0.018014599
graph_08_mu_0_4_node_334,0.06358216
graph_08_mu_0_4_node_335,0.04139926
graph_08_mu_0_4_node_336,0.05216747
graph_08_mu_0_4_node_337,0.031242425
graph_08_mu_0_4_node_338,0.029809939
graph_08_mu_0_4_node_339,0.03415626
graph_08_mu_0_4_node_340,0.036789156
graph_08_mu_0_4_node_341,0.04037871
graph_08_mu_0_4_node_342,0.052393693
graph_08_mu_0_4_node_343,0.037666604
graph_08_mu_0_4_node_344,0.060862638
graph_08_mu_0_4_node_345,0.039570507
graph_08_mu_0_4_node_346,0.031844217
graph_08_mu_0_4_node_347,0.01952759
graph_08_mu_0_4_node_348,0.03415626
graph_08_mu_0_4_node_349,0.04037871
graph_08_mu_0_4_node_350,0.02115097
graph_08_mu_0_4_node_351,0.04606568
graph_08_mu_0_4_node_352,0.027389826
graph_08_mu_0_4_node_353,0.023977272
graph_08_mu_0_4_node_354,0.03706932
graph_08_mu_0_4_node_355,0.045439154
graph_08_mu_0_4_node_356,0.04450001
graph_08_mu_0_4_node_357,0.03746712
graph_08_mu_0_4_node_358,0.023977272
graph_08_mu_0_4_node_359,0.039570507
graph_08_mu_0_4_node_360,0.03186784
graph_08_mu_0_4_node_361,0.12698095
graph_08_mu_0_4_node_362,0.07386265
graph_08_mu_0_4_node_363,0.031844217
graph_08_mu_0_4_node_364,0.08023073
graph_08_mu_0_4_node_365,0.056119423
graph_08_mu_0_4_node_366,0.048707243
graph_08_mu_0_4_node_367,0.09298261
graph_08_mu_0_4_node_368,0.03415626
graph_08_mu_0_4_node_369,0.035424925
graph_08_mu_0_4_node_370,0.04606568
graph_08_mu_0_4_node_371,0.03415626
graph_08_mu_0_4_node_372,0.027389826
graph_08_mu_0_4_node_373,0.04450001
graph_08_mu_0_4_node_374,0.04110489
graph_08_mu_0_4_node_375,0.052393693
graph_08_mu_0_4_node_376,0.081142046
graph_08_mu_0_4_node_377,0.031844217
graph_08_mu_0_4_node_378,0.027389826
graph_08_mu_0_4_node_379,0.02115097
graph_08_mu_0_4_node_380,0.065159105
graph_08_mu_0_4_node_381,0.03746712
graph_08_mu_0_4_node_382,0.037666604
graph_08_mu_0_4_node_383,0.031844217
graph_08_mu_0_4_node_384,0.065159105
graph_08_mu_0_4_node_385,0.042912237
graph_08_mu_0_4_node_386,0.023977272
graph_08_mu_0_4_node_387,0.031844217
graph_08_mu_0_4_node_388,0.079455
graph_08_mu_0_4_node_389,0.03415626
graph_08_mu_0_4_node_390,0.065159105
graph_08_mu_0_4_node_391,0.07489229
graph_08_mu_0_4_node_392,0.042912237
graph_08_mu_0_4_node_393,0.01952759
graph_08_mu_0_4_node_394,0.04139926
graph_08_mu_0_4_node_395,0.02115097
graph_08_mu_0_4_node_396,0.0346055
graph_08_mu_0_4_node_397,0.037101645
graph_08_mu_0_4_node_398,0.027389826
graph_08_mu_0_4_node_399,0.03415626
graph_08_mu_0_4_node_400,0.052393693
graph_08_mu_0_4_node_401,0.022507703
graph_08_mu_0_4_node_402,0.04450001
graph_08_mu_0_4_node_403,0.022507703
graph_08_mu_0_4_node_404,0.052393693
graph_08_mu_0_4_node_405,0.065159105
graph_08_mu_0_4_node_406,0.036900293
graph_08_mu_0_4_node_407,0.06810683
graph_08_mu_0_4_node_408,0.04056113
graph_08_mu_0_4_node_409,0.031844217
graph_08_mu_0_4_node_410,0.031242425
graph_08_mu_0_4_node_411,0.035424925
graph_08_mu_0_4_node_412,0.035424925
graph_08_mu_0_4_node_413,0.04606568
graph_08_mu_0_4_node_414,0.12683697
graph_08_mu_0_4_node_415,0.07386265
graph_08_mu_0_4_node_416,0.035424925
graph_08_mu_0_4_node_417,0.03746712
graph_08_mu_0_4_node_418,0.04037871
graph_08_mu_0_4_node_419,0.06358216
graph_08_mu_0_4_node_420,0.03186784
graph_08_mu_0_4_node_421,0.04606568
graph_08_mu_0_4_node_422,0.035424925
graph_08_mu_0_4_node_423,0.031844217
graph_08_mu_0_4_node_424,0.048707243
graph_08_mu_0_4_node_425,0.045375578
graph_08_mu_0_4_node_426,0.07999733
graph_08_mu_0_4_node_427,0.029809939
graph_08_mu_0_4_node_428,0.036789156
graph_08_mu_0_4_node_429,0.036789156
graph_08_mu_0_4_node_430,0.031844217
graph_08_mu_0_4_node_431,0.034306888
graph_08_mu_0_4_node_432,0.04139926
graph_08_mu_0_4_node_433,0.06358216
graph_08_mu_0_4_node_434,0.034306888
graph_08_mu_0_4_node_435,0.031844217
graph_08_mu_0_4_node_436,0.045375578
graph_08_mu_0_4_node_437,0.04037871
graph_08_mu_0_4_node_438,0.02115097
graph_08_mu_0_4_node_439,0.03186784
graph_08_mu_0_4_node_440,0.029809939
graph_08_mu_0_4_node_441,0.027389826
graph_08_mu_0_4_node_442,0.13695459
graph_08_mu_0_4_node_443,0.031844217
graph_08_mu_0_4_node_444,0.09298261
graph_08_mu_0_4_node_445,0.031844217
graph_08_mu_0_4_node_446,0.045375578
graph_08_mu_0_4_node_447,0.03746712
graph_08_mu_0_4_node_448,0.031844217
graph_08_mu_0_4_node_449,0.029809939
graph_08_mu_0_4_node_450,0.035424925
graph_08_mu_0_4_node_451,0.04139926
graph_08_mu_0_4_node_452,0.01952759
graph_08_mu_0_4_node_453,0.02115097
graph_08_mu_0_4_node_454,0.031242425
graph_08_mu_0_4_node_455,0.0346055
graph_08_mu_0_4_node_456,0.02115097
graph_08_mu_0_4_node_457,0.04037871
graph_08_mu_0_4_node_458,0.04450001
graph_08_mu_0_4_node_459,0.037666604
graph_08_mu_0_4_node_460,0.02115097
graph_08_mu_0_4_node_461,0.045375578
graph_08_mu_0_4_node_462,0.032541174
graph_08_mu_0_4_node_463,0.03415626
graph_08_mu_0_4_node_464,0.081570655
graph_08_mu_0_4_node_465,0.056119423
graph_08_mu_0_4_node_466,0.031844217
graph_08_mu_0_4_node_467,0.031242425
graph_08_mu_0_4_node_468,0.037666604
graph_08_mu_0_4_node_469,0.045375578
graph_08_mu_0_4_node_470,0.03186784
graph_08_mu_0_4_node_471,0.037666604
graph_08_mu_0_4_node_472,0.042912237
graph_08_mu_0_4_node_473,0.05216747
graph_08_mu_0_4_node_474,0.02115097
graph_08_mu_0_4_node_475,0.036789156
graph_08_mu_0_4_node_476,0.02115097
graph_08_mu_0_4_node_477,0.01952759
graph_08_mu_0_4_node_478,0.07386265
graph_08_mu_0_4_node_479,0.031844217
graph_08_mu_0_4_node_480,0.065159105
graph_08_mu_0_4_node_481,0.023977272
graph_08_mu_0_4_node_482,0.042912237
graph_08_mu_0_4_node_483,0.030065559
graph_08_mu_0_4_node_484,0.01952759
graph_08_mu_0_4_node_485,0.03171531
graph_08_mu_0_4_node_486,0.018014599
graph_08_mu_0_4_node_487,0.02115097
graph_08_mu_0_4_node_488,0.045375578
graph_08_mu_0_4_node_489,0.042912237
graph_08_mu_0_4_node_490,0.03746712
graph_08_mu_0_4_node_491,0.045439154
graph_08_mu_0_4_node_492,0.04139926
graph_08_mu_0_4_node_493,0.045375578
graph_08_mu_0_4_node_494,0.039570507
graph_08_mu_0_4_node_495,0.031242425
graph_08_mu_0_4_node_496,0.13588278
graph_08_mu_0_4_node_497,0.08582189
graph_08_mu_0_4_node_498,0.042912237
graph_08_mu_0_4_node_499,0.029809939
graph_08_mu_0_4_node_500,0.04037871
graph_08_mu_0_4_node_501,0.04056113
graph_08_mu_0_4_node_502,0.055368595
graph_08_mu_0_4_node_503,0.049026307
graph_08_mu_0_4_node_504,0.065159105
graph_08_mu_0_4_node_505,0.079952225
graph_08_mu_0_4_node_506,0.05216747
graph_08_mu_0_4_node_507,0.115156464
graph_08_mu_0_4_node_508,0.052393693
graph_08_mu_0_4_node_509,0.06672212
graph_08_mu_0_4_node_510,0.03746712
graph_08_mu_0_4_node_511,0.07386265
graph_08_mu_0_4_node_512,0.034306888
graph_08_mu_0_4_node_513,0.036789156
graph_08_mu_0_4_node_514,0.04056113
graph_08_mu_0_4_node_515,0.04450001
graph_08_mu_0_4_node_516,0.03746712
graph_08_mu_0_4_node_517,0.034306888
graph_08_mu_0_4_node_518,0.04056113
graph_08_mu_0_4_node_519,0.038857255
graph_08_mu_0_4_node_520,0.029809939
graph_08_mu_0_4_node_521,0.03746712
graph_08_mu_0_4_node_522,0.07771756
graph_08_mu_0_4_node_523,0.065159105
graph_08_mu_0_4_node_524,0.03186784
graph_08_mu_0_4_node_525,0.02115097
graph_08_mu_0_4_node_526,0.052393693
graph_08_mu_0_4_node_527,0.023977272
graph_08_mu_0_4_node_528,0.09298261
graph_08_mu_0_4_node_529,0.022507703
graph_08_mu_0_4_node_530,0.052393693
graph_08_mu_0_4_node_531,0.11299028
graph_08_mu_0_4_node_532,0.045375578
graph_08_mu_0_4_node_533,0.034254324
graph_08_mu_0_4_node_534,0.031844217
graph_08_mu_0_4_node_535,0.04606568
graph_08_mu_0_4_node_536,0.039527886
graph_08_mu_0_4_node_537,0.04139926
graph_08_mu_0_4_node_538,0.037666604
graph_08_mu_0_4_node_539,0.04450001
graph_08_mu_0_4_node_540,0.02115097
graph_08_mu_0_4_node_541,0.03746712
graph_08_mu_0_4_node_542,0.06358216
graph_08_mu_0_4_node_543,0.02115097
graph_08_mu_0_4_node_544,0.04606568
graph_08_mu_0_4_node_545,0.067052014
graph_08_mu_0_4_node_546,0.04056113
graph_08_mu_0_4_node_547,0.037666604
graph_08_mu_0_4_node_548,0.036789156
graph_08_mu_0_4_node_549,0.09298261
graph_08_mu_0_4_node_550,0.035424925
graph_08_mu_0_4_node_551,0.03186784
graph_08_mu_0_4_node_552,0.045439154
graph_08_mu_0_4_node_553,0.092941284
graph_08_mu_0_4_node_554,0.045439154
graph_08_mu_0_4_node_555,0.02115097
graph_08_mu_0_4_node_556,0.045439154
graph_08_mu_0_4_node_557,0.0814863
graph_08_mu_0_4_node_558,0.048707243
graph_08_mu_0_4_node_559,0.03415626
graph_08_mu_0_4_node_560,0.042912237
graph_08_mu_0_4_node_561,0.053669263
graph_08_mu_0_4_node_562,0.035424925
graph_08_mu_0_4_node_563,0.027389826
graph_08_mu_0_4_node_564,0.0812349
graph_08_mu_0_4_node_565,0.035424925
graph_08_mu_0_4_node_566,0.034254067
graph_08_mu_0_4_node_567,0.04037871
graph_08_mu_0_4_node_568,0.048707243
graph_08_mu_0_4_node_569,0.03186784
graph_08_mu_0_4_node_570,0.0633304
graph_08_mu_0_4_node_571,0.042912237
graph_08_mu_0_4_node_572,0.052393693
graph_08_mu_0_4_node_573,0.08122325
graph_08_mu_0_4_node_574,0.018014599
graph_08_mu_0_4_node_575,0.04450001
graph_08_mu_0_4_node_576,0.050983448
graph_08_mu_0_4_node_577,0.06075885
graph_08_mu_0_4_node_578,0.04139926
graph_08_mu_0_4_node_579,0.039570507
graph_08_mu_0_4_node_580,0.036900293
graph_08_mu_0_4_node_581,0.036170654
graph_08_mu_0_4_node_582,0.022507703
graph_08_mu_0_4_node_583,0.04414354
graph_08_mu_0_4_node_584,0.037666604
graph_08_mu_0_4_node_585,0.027389826
graph_08_mu_0_4_node_586,0.052393693
graph_08_mu_0_4_node_587,0.09303851
graph_08_mu_0_4_node_588,0.018014599
graph_08_mu_0_4_node_589,0.03746712
graph_08_mu_0_4_node_590,0.048707243
graph_08_mu_0_4_node_591,0.01952759
graph_08_mu_0_4_node_592,0.03746712
graph_08_mu_0_4_node_593,0.09020778
graph_08_mu_0_4_node_594,0.027389826
graph_08_mu_0_4_node_595,0.02115097
graph_08_mu_0_4_node_596,0.10595096
graph_08_mu_0_4_node_597,0.08506496
graph_08_mu_0_4_node_598,0.03415626
graph_08_mu_0_4_node_599,0.04139926
graph_08_mu_0_4_node_600,0.03746712
graph_08_mu_0_4_node_601,0.022507703
graph_08_mu_0_4_node_602,0.03784492
graph_08_mu_0_4_node_603,0.04606568
graph_08_mu_0_4_node_604,0.08742992
graph_08_mu_0_4_node_605,0.045439154
graph_08_mu_0_4_node_606,0.045439154
graph_08_mu_0_4_node_607,0.04450001
graph_08_mu_0_4_node_608,0.04450001
graph_08_mu_0_4_node_609,0.029809939
graph_08_mu_0_4_node_610,0.08832044
graph_08_mu_0_4_node_611,0.03186784
graph_08_mu_0_4_node_612,0.045375578
graph_08_mu_0_4_node_613,0.02115097
graph_08_mu_0_4_node_614,0.06672212
graph_08_mu_0_4_node_615,0.036789156
graph_08_mu_0_4_node_616,0.1416518
graph_08_mu_0_4_node_617,0.045375578
graph_08_mu_0_4_node_618,0.03415626
graph_08_mu_0_4_node_619,0.018014599
graph_08_mu_0_4_node_620,0.06664748
graph_08_mu_0_4_node_621,0.03415626
graph_08_mu_0_4_node_622,0.023977272
graph_08_mu_0_4_node_623,0.03746712
graph_08_mu_0_4_node_624,0.02115097
graph_08_mu_0_4_node_625,0.02115097
graph_08_mu_0_4_node_626,0.07923062
graph_08_mu_0_4_node_627,0.02613646
graph_08_mu_0_4_node_628,0.04037871
graph_08_mu_0_4_node_629,0.03415626
graph_08_mu_0_4_node_630,0.036789156
graph_08_mu_0_4_node_631,0.09789906
graph_08_mu_0_4_node_632,0.04037871
graph_08_mu_0_4_node_633,0.056119423
graph_08_mu_0_4_node_634,0.03746712
